mealtype,recipe_name,measure,calories,protein,fats,carbs
breakfast,homemade poha,1.25 serving,406.5,7.9375,10.625,62.9375
lunch,ragada pattice,1.0 serving,309.0833333,14.125,1.333333333,68.125
lunch,aloo millet pulao,0.25 serving,73.225,1.6583333333333332,1.4666666666666668,11.454166666666666
snack,sunfeast 5 grain digestive,3.0 biscuits,291.0,23.1,13.2,39.900000000000006
snack,pitted date,4.0,92.0,0.8,0.0,24.0
snack,vegan blueberry no bake cheesecake,1.0 serving,330.7616667,2.776666667,5.388333333,37.52333333
