mealtype,recipe_name,measure,calories,protein,fats,carbs
breakfast,quinoa dosa,2.7 serving,311.12999991000004,11.159999999100002,9.45,40.5
breakfast,pumpkin chutney,1.0 serving,74.0,2.0,3.666666667,6.833333333
snack,kirkland salted mixed nuts,0.5 tbsp,22.5,0.625,1.875,0.75
snack,almonds,1.0 tbsp,40.0,1.0,3.5,0.0
smoothie,berry smoothie with greek yogurt,1.0 serving,217.0,7.125,1.5,41.625
lunch,"black bean, bell pepper and avocado tacos",4.0 serving,538.8888888888889,22.0,27.33333333333333,54.66666666666666
snack,sunfeast 5 grain digestive,1.0 biscuits,48.5,3.85,2.2,6.65
snack,deep mint makhana,1.0 cup,160.0,3.0,8.0,18.0
snack,marie biscuit,2.0,48.0,1.0,1.1666,8.334
dinner,aloo millet pulao,1.0 serving,292.9,6.633333333,5.866666667,45.81666667
snack,alreef kol w shkor pistachio,0.5 serving,32.5,0.3,2.45,2.5
snack,alreef pistachio baklava ,0.5 serving,23.75,0.375,2.0,1.075
snack,alreef burma pistachio,0.5 serving,34.0,0.625,2.075,3.725
snack,alreef white pistachio balloriya,0.5 serving,34.25,2.3,2.425,3.075
snack,chawanprash,2.0 tsp,100.0,0.0,0.0,22.0
