mealtype,recipe_name,measure,calories,protein,fats,carbs
breakfast,homemade poha,1.0 serving,325.2,6.35,8.5,50.35
breakfast,coffee with oat creamer,1.0 serving,50.0,0.0,2.0,8.0
dinner,veggie penne pasta no cheese,0.9 serving,348.075,10.755,8.55,60.075
lunch,vegetable lasagna with tofu ricotta,1.3 serving,728.325,28.275,21.125,111.6375
lunch,filter coffee mocha,1.0 serving,85.2,1.005,1.675,50.36
salad,diet bhel chaat,1.0 serving,137.5,9.1,5.72,13.19
smoothie,berry smoothie with oat milk,1.0 serving,188.0,2.0,3.0,37.0
snack,kirkland salted mixed nuts,1.0 tbsp,45.0,1.25,3.75,1.5
snack,see's candies assorted,2.0 pieces,180.0,2.0,11.0,23.0
snack,sunfeast 5 grain digestive,4.0 biscuits,388.0,30.8,17.6,53.2
snack,pitted date,2.0,46.0,0.4,0.0,12.0
snack,marie biscuit,1.0,24.0,0.5,0.5833,4.167
