mealtype,recipe_name,measure,calories,protein,fats,carbs
breakfast,top ramen masala noodles,1.3 pack,360.1,6.5,14.3,49.4
breakfast,coffee with oat creamer,1.0 serving,50.0,0.0,2.0,8.0
lunch,whole wheat pizza with tofu ricotta,0.9 serving,325.8,12.6,8.1,49.5
lunch,filter coffee mocha,1.0 serving,85.0,1.0,1.0,50.0
snack,sunfeast 5 grain digestive,1.0 biscuits,48.5,3.5,2.0,6.5
dinner,moong dal khichdi,1.0 serving,396.0,15.0,11.0,49.0
snack,harvest snaps,2.0 serving,260.0,10.0,10.0,32.0
snack,sugar free chocolate chips,2.0 tbsp,100.0,2.0,10.0,16.0
snack,pitted date,2.0,46.0,0.0,0.0,12.0
dinner,dahi,0.5 cup,75.0,5.0,3.5,7.0
smoothie,organic vegan vanilla protein powder,2.0 scoops,150.0,21.0,4.0,15.0
smoothie,sweetened oat milk,0.75 cup,90.0,2.25,3.75,12.0
snack,kombucha,0.25 bottle,17.5,0.0,0.0,4.0
