mealtype,recipe_name,measure,calories,protein,fats,carbs
breakfast,high protein soya chunks dosa,3.0 serving,314.12499990000003,12.9375,6.875000001,45.81249999
breakfast,spring onion tambali,1.0 serving,62.625,2.5625,3.5,5.625
breakfast,coffee with oat creamer,1.0 serving,50.0,0.0,2.0,8.0
dinner,tomato millet with powder,1.0 serving,323.3333333,7.5,11.66666667,42.33333333
dinner,dahi,0.5 cup,75.0,5.0,3.5,7.0
lunch,kala chana sabji,0.5 serving,88.9375,7.625,2.375,8.90625
lunch,beans sabji,0.5 serving,48.0,3.5,3.5,14.75
lunch,multigrain roti,1.8 serving,175.5,6.3,0.9,32.4
salad,mini bell pepper salad,1.0 serving,114.95,4.55,0.0,10.65
smoothie,goji berry apple smoothie,1.0 serving,222.75,2.125,6.75,34.125
snack,sunfeast 5 grain digestive,2.0 biscuits,194.0,15.4,8.8,26.6
snack,see's candies assorted,1.0 pieces,90.0,1.0,5.5,11.5
snack,jalapeno makhana,1.0 cup,84.0,0.0,4.0,20.0
snack,marie biscuit,2.0,48.0,1.0,1.1666,8.334
snack,filter coffee mocha,1.0 serving,85.2,1.005,1.675,50.36
