mealtype,recipe_name,measure,calories,protein,fats,carbs
breakfast,ragi dosa,1.0 serving,135.2666667,4.066666667,2.233333333,24.46666667
breakfast,coriander chutney,0.4 serving,27.566666668,2.7,1.4,0.9666666668
breakfast,high protein soya chunks dosa,1.5 serving,157.06249995000002,6.46875,3.4375000005,22.906249995
breakfast,spring onion tambali,1.0 serving,62.625,2.5625,3.5,5.625
breakfast,coffee with oat creamer,1.0 serving,50.0,0.0,2.0,8.0
dinner,fada ni khichdi,1.0 serving,235.0,7.0,6.0,31.0
lunch,capsicum besan bhaji,0.4 serving,56.004,2.44,2.4000000000000004,5.816
lunch,moong dal sabji,0.4 serving,68.7,6.800000000000001,1.7000000000000002,6.5
lunch,multigrain roti,1.8 serving,175.5,6.3,0.9,32.4
salad,spring mix tomato salad with mustard vinaegrette,1.0 serving,102.0,0.0,6.0,1.0
smoothie,red apple pear orange smoothie no yogurt,1.0 serving,283.25,1.625,1.25,64.625
snack,Kirkland salted mixed nuts,1.0 tbsp,45.0,1.0,3.0,1.0
snack,see's candies assorted,2.0 pieces,180.0,2.0,11.0,23.0
snack,murmura chivda,0.5 cup,56.5,0.6,3.8,4.95
snack,harvest snaps green peas,1.0 serving,130.0,5.0,5.0,16.0
snack,sunfeast 5 grain digestive,4.0 biscuits,388.0,30.8,17.6,53.2
