food_item,ingredients,no_of_servings,calories,protein,fats,carbohydrates
chana masala sabji,"garbanzo: 0.5 cup,olive oil: 2.0 tsp,onion: 0.5,tomato: 2.0,chana masala: 0.125 tbsp,garam masala: 0.125 tsp",2.0,267.75,14.5,5.0625,12.625
mini bell pepper salad,"mini bell pepper: 20.0,baby carrot: 9.0,tomato: 1.3",2.0,114.95,4.55,0.0,10.65
diet bhel chaat,"diet bhel: 0.75,bombay sandwich chutney: 3.0,tomato: 0.75,onion: 0.25,green capsicum: 0.25,dahi: 0.67",2.0,137.5,9.1,5.72,13.19
rava idli,"semolina: 0.75,raw chana dal: 1.0,olive oil: 3.0,dahi: 0.75",9.0,79.58333333,2.694444444,2.111111111,11.58333333
pesarattu,"mung bean sprouts: 0.25,semolina: 0.25,olive oil: 2.5,onion: 0.25",5.0,53.8,1.95,2.05,6.4
carrot chutney,"baby carrot: 6.0,raw chana dal: 1.0,olive oil: 1.0",2.0,45.5,0.5,2.5,1.5
quinoa dosa,"quinoa: 1.0,raw chana dal: 2.0,urad dal: 0.5,toor dal: 0.0625,methi seeds: 0.156",20.0,54.7558,2.6156,0.70625,9.1718
ragi dosa,"ragi flour: 1.0,sooji: 1.0,rice flour: 1.0,dahi: 0.5,onion: 1.0,olive oil: 5.0",15.0,135.2666667,4.066666667,2.233333333,24.46666667
bajra pesarattu,"mung bean sprouts: 1.0,bajra flour: 0.5,onion: 0.25,olive oil: 2.5",8.0,65.0,2.21875,1.75,9.90625
tomato pachadi,"tomato: 2.0,raw chana dal: 0.38,urad dal: 0.0125,olive oil: 1.0,garlic clove: 1.0",2.0,65.86375,7.49,2.215,2.345
vermicelli upma,"vermicelli: 0.33 cup,raw chana dal: 0.25 tbsp,peanuts: 0.5 tbsp,cashew: 3.0,olive oil: 1.0 tsp",1.0,173.85,3.89,6.58,15.11
mixed veg raita,"tomato: 0.5,onion: 0.25,cucumber: 0.25,dahi: 0.5",2.0,56.5,6.25,1.75,5.125
methi thepla,"methi leaves: 1.0,aashirvaad multigrain atta: 2.25,besan: 0.5,dahi: 0.33,olive oil: 2.5",10.0,126.5,4.83,2.081,20.312
