food_item,measure,calories,protein,fats,carbohydrates
biryani masala powder,1 tbsp,21.0,1.0,1.0,3.0
peanut butter,1 tbsp,94.0,4.01,8.06,3.13
sesame seeds,1 tbsp,52.0,1.6,4.47,2.11
coriander seeds,1 tbsp,15.0,0.62,0.89,2.75
cumin seeds,1 tbsp,22.0,1.07,1.34,2.65
ginger garlic paste,1 tbsp,61.0,0.5,5.4,3.2
vegan butter,1 tbsp,60.0,0.0,6.0,0.0
generic sweet boondi,1 tbsp,16.58,0.0,0.25,3.25
generic coconut chutney,1 tbsp,30.0,0.7,2.2,2.5
generic peanut chutney,1 tbsp,30.0,1.0,3.0,1.5
red chilli sauce,1 tbsp,3.8,0.3,0.1,0.8
green chilli sauce,1 tbsp,20.0,0.0,0.0,5.0
honey,1 tbsp,60.0,0.0,0.0,17.0
worcestershire sauce,1 tbsp,13.0,0.0,0.0,3.3
nutritional yeast,1 tbsp,28.0,3.8,0.6,3.2
buffalo sauce,1 tbsp,1.8,0.2,0.1,0.1
chili powder,1 tsp,8.0,0.32,0.44,1.42
coriander powder,1 tsp,5.0,0.22,0.32,0.99
haldi,1 tsp,8.0,0.17,0.22,1.43
garam masala,1 tsp,6.0,0.0,0.0,1.0
sugar,1 tsp,15.0,0.0,0.0,15.4
olive oil,1 tsp,40.0,0.0,4.5,0.0
maple syrup,1 tsp,11.0,0.0,0.01,2.73
bombay sandwich chutney,1 tsp,6.0,0.0,0.0,1.0
cardamom,1 tsp,6.0,0.22,0.13,1.37
sambar masala,1 tsp,6.5,0.3,0.3,1.1
black pepper,1 tsp,6.0,0.0,0.0,1.0
chunky chat masala,1 tsp,20.0,0.0,0.0,2.0
chawanprash,1 tsp,50.0,0.0,0.0,11.0
bombay chutney,1 tsp,6.0,0.0,0.0,1.0
jaggery,1 tsp,15.8,0.0,0.0,4.0
ghee,1 tsp,37.0,0.0,4.3,0.0
basil pasta sauce,1 cup,140.0,4.0,5.0,22.0
crumbl brownie cookie,1 cookie,600.0,8.0,32.0,72.0
vegan mozzarella cheese,1 cup,320.0,0.0,20.0,32.0
pista,1 cup,684.0,25.36,54.68,34.4
generic quick upma,1 cup,768.0,16.0,23.2,122.8
pappad small,2,50.0,3.0,0.0,10.0
generic mini veg uttapam,2,181.0,4.0,11.0,18.0
oats ginger chilli khakra,2 pieces,200.0,4.0,10.0,24.0
drumstick,3 pieces,6.7,0.7,0.0,1.0
marshmallow,4 pieces,92.0,0.5,0.0,23.6
pani puri dry,5 pieces,100.0,2.0,4.0,17.0
bhindi,8 pods,29.0,1.9,0.1,6.68
pumpkin pie spice,1 tsp,5.8,0.1,0.2,1.2
zucchini,1 medium,30.0,2.3,0.7,5.4
bouillon cube,1 tsp,11.0,0.4,0.4,1.7
goji berries,1 tbsp,20.0,0.8,0.0,4.2
