Title,Expected/Max,Current/Consumed Today
Weight,55,72
Calories burned with exercise,600,300
BMR,1207.75,1377.75
Calories Consumed,2135.5125000000003,1886.98583325
Calorie Deficit,500,548.53
Protein Consumed,96.87g,53.54g
Fats Consumed,96.87g,53.54g
Carbs Consumed,179.89g,53.54g
