Title,Expected/Max,Current/Consumed Today
Weight,55,72.6
Calories burned with exercise,600,600
BMR,1207.75,1383.75
Calories Consumed,2144.8125,2740.9
Calorie Deficit,500,3.91
Protein Consumed,97.29g,77.78g
Fats Consumed,97.29g,77.78g
Carbs Consumed,180.68g,77.78g
