Title,Expected/Max,Current/Consumed Today
Weight,55,72
Calories burned with exercise,600,584
BMR,1207.75,1377.75
Calories Consumed,2135.5125000000003,2152.474833318
Calorie Deficit,500,567.04
Protein Consumed,96.87g,79.36g
Fats Consumed,96.87g,79.36g
Carbs Consumed,179.89g,79.36g
