Title,Expected/Max,Current/Consumed Today
Weight,55,72
Calories burned with exercise,600,450
BMR,1207.75,1377.75
Calories Consumed,2135.5125000000003,1817.45
Calorie Deficit,500,768.06
Protein Consumed,96.87g,55.35g
Fats Consumed,96.87g,55.35g
Carbs Consumed,179.89g,55.35g
