Title,Expected/Max,Current/Consumed Today
Weight,55,72.6
Calories burned with exercise,600,550
BMR,1207.75,1383.75
Calories Consumed,2144.8125,2346.1
Calorie Deficit,500,348.71
Protein Consumed,97.29g,63.12g
Fats Consumed,97.29g,63.12g
Carbs Consumed,180.68g,63.12g
