Title,Expected/Max,Current/Consumed Today
Weight,55,72
Calories burned with exercise,600,512
BMR,1207.75,1377.75
Calories Consumed,2135.5125000000003,1976.4208332
Calorie Deficit,500,671.09
Protein Consumed,96.87g,70.5g
Fats Consumed,96.87g,70.5g
Carbs Consumed,179.89g,70.5g
