Title,Expected/Max,Current/Consumed Today
Weight,55,72.8
Calories burned with exercise,600,332
BMR,1207.75,1385.75
Calories Consumed,2147.9125,2545.3
Calorie Deficit,500,-65.39
Protein Consumed,97.43g,92.44g
Fats Consumed,97.43g,92.44g
Carbs Consumed,180.94g,92.44g
