Title,Expected/Max,Current/Consumed Today
Weight,55,72.4
Calories burned with exercise,600,612
BMR,1207.75,1381.75
Calories Consumed,2141.7125,1958.03333335
Calorie Deficit,500,795.68
Protein Consumed,97.15g,65.47g
Fats Consumed,97.15g,65.47g
Carbs Consumed,180.42g,65.47g
