Title,Expected/Max,Current/Consumed Today
Weight,55,72.6
Calories burned with exercise,600,100
BMR,1207.75,1383.75
Calories Consumed,2144.8125,360.1
Calorie Deficit,500,1884.71
Protein Consumed,97.29g,6.5g
Fats Consumed,97.29g,6.5g
Carbs Consumed,180.68g,6.5g
